EPOCH=001,Accuracy= 45.431%
EPOCH=002,Accuracy= 46.302%
EPOCH=003,Accuracy= 47.556%
EPOCH=004,Accuracy= 49.091%
EPOCH=005,Accuracy= 47.991%
EPOCH=006,Accuracy= 53.391%
EPOCH=007,Accuracy= 52.623%
EPOCH=008,Accuracy= 53.698%
EPOCH=009,Accuracy= 53.340%
EPOCH=010,Accuracy= 54.876%
EPOCH=011,Accuracy= 56.156%
EPOCH=012,Accuracy= 54.850%
EPOCH=013,Accuracy= 55.848%
EPOCH=014,Accuracy= 55.311%
EPOCH=015,Accuracy= 55.285%
EPOCH=016,Accuracy= 55.465%
EPOCH=017,Accuracy= 55.490%
EPOCH=018,Accuracy= 54.441%
EPOCH=019,Accuracy= 54.646%
EPOCH=020,Accuracy= 54.236%
EPOCH=021,Accuracy= 55.516%
EPOCH=022,Accuracy= 54.057%
EPOCH=023,Accuracy= 54.236%
EPOCH=024,Accuracy= 53.826%
EPOCH=025,Accuracy= 54.057%
EPOCH=026,Accuracy= 53.954%
EPOCH=027,Accuracy= 53.929%
EPOCH=028,Accuracy= 54.134%
EPOCH=029,Accuracy= 53.878%
EPOCH=030,Accuracy= 53.775%
