EPOCH=001,Accuracy= 42.616%
EPOCH=002,Accuracy= 44.382%
EPOCH=003,Accuracy= 47.837%
EPOCH=004,Accuracy= 46.660%
EPOCH=005,Accuracy= 43.256%
EPOCH=006,Accuracy= 47.121%
EPOCH=007,Accuracy= 48.682%
EPOCH=008,Accuracy= 50.755%
EPOCH=009,Accuracy= 47.069%
EPOCH=010,Accuracy= 50.909%
EPOCH=011,Accuracy= 51.344%
EPOCH=012,Accuracy= 49.680%
EPOCH=013,Accuracy= 51.702%
EPOCH=014,Accuracy= 52.726%
EPOCH=015,Accuracy= 51.907%
EPOCH=016,Accuracy= 51.881%
EPOCH=017,Accuracy= 52.649%
EPOCH=018,Accuracy= 54.901%
EPOCH=019,Accuracy= 51.600%
EPOCH=020,Accuracy= 52.931%
EPOCH=021,Accuracy= 52.828%
EPOCH=022,Accuracy= 53.033%
EPOCH=023,Accuracy= 52.982%
EPOCH=024,Accuracy= 54.108%
EPOCH=025,Accuracy= 53.187%
EPOCH=026,Accuracy= 53.724%
EPOCH=027,Accuracy= 53.852%
EPOCH=028,Accuracy= 53.110%
EPOCH=029,Accuracy= 53.161%
EPOCH=030,Accuracy= 52.700%
