001  00081 | LR: 4.000000e-05 | Loss: 1.950 | Acc: 11.955% 
001  00082 | LR: 4.050000e-05 | Loss: 1.950 | Acc: 12.053% 
001  00083 | LR: 4.100000e-05 | Loss: 1.950 | Acc: 12.129% 
001  00084 | LR: 4.150000e-05 | Loss: 1.950 | Acc: 12.163% 
001  00085 | LR: 4.200000e-05 | Loss: 1.950 | Acc: 12.216% 
001  00086 | LR: 4.250000e-05 | Loss: 1.950 | Acc: 12.229% 
001  00087 | LR: 4.300000e-05 | Loss: 1.950 | Acc: 12.261% 
001  00088 | LR: 4.350000e-05 | Loss: 1.950 | Acc: 12.254% 
001  00089 | LR: 4.400000e-05 | Loss: 1.949 | Acc: 12.247% 
001  00090 | LR: 4.450000e-05 | Loss: 1.950 | Acc: 12.185% 
001  00091 | LR: 4.500000e-05 | Loss: 1.949 | Acc: 12.234% 
001  00092 | LR: 4.550000e-05 | Loss: 1.949 | Acc: 12.264% 
001  00093 | LR: 4.600000e-05 | Loss: 1.949 | Acc: 12.240% 
001  00094 | LR: 4.650000e-05 | Loss: 1.949 | Acc: 12.305% 
001  00095 | LR: 4.700000e-05 | Loss: 1.949 | Acc: 12.263% 
001  00096 | LR: 4.750000e-05 | Loss: 1.949 | Acc: 12.326% 
001  00097 | LR: 4.800000e-05 | Loss: 1.949 | Acc: 12.337% 
001  00098 | LR: 4.850000e-05 | Loss: 1.949 | Acc: 12.364% 
001  00099 | LR: 4.900000e-05 | Loss: 1.949 | Acc: 12.441% 
001  00100 | LR: 4.950000e-05 | Loss: 1.949 | Acc: 12.483% 
001  00101 | LR: 5.000000e-05 | Loss: 1.949 | Acc: 12.492% 
001  00102 | LR: 5.050000e-05 | Loss: 1.949 | Acc: 12.533% 
001  00103 | LR: 5.100000e-05 | Loss: 1.949 | Acc: 12.540% 
001  00104 | LR: 5.150000e-05 | Loss: 1.948 | Acc: 12.580% 
001  00105 | LR: 5.200000e-05 | Loss: 1.948 | Acc: 12.635% 
001  00106 | LR: 5.250000e-05 | Loss: 1.948 | Acc: 12.657% 
001  00107 | LR: 5.300000e-05 | Loss: 1.948 | Acc: 12.648% 
001  00108 | LR: 5.350000e-05 | Loss: 1.948 | Acc: 12.670% 
001  00109 | LR: 5.400000e-05 | Loss: 1.948 | Acc: 12.615% 
001  00110 | LR: 5.450000e-05 | Loss: 1.948 | Acc: 12.652% 
001  00111 | LR: 5.500000e-05 | Loss: 1.948 | Acc: 12.748% 
001  00112 | LR: 5.550000e-05 | Loss: 1.948 | Acc: 12.723% 
001  00113 | LR: 5.600000e-05 | Loss: 1.948 | Acc: 12.817% 
001  00114 | LR: 5.650000e-05 | Loss: 1.948 | Acc: 12.865% 
001  00115 | LR: 5.700000e-05 | Loss: 1.948 | Acc: 12.855% 
001  00116 | LR: 5.750000e-05 | Loss: 1.948 | Acc: 12.902% 
001  00117 | LR: 5.800000e-05 | Loss: 1.948 | Acc: 12.977% 
001  00118 | LR: 5.850000e-05 | Loss: 1.947 | Acc: 13.037% 
001  00119 | LR: 5.900000e-05 | Loss: 1.947 | Acc: 13.095% 
001  00120 | LR: 5.950000e-05 | Loss: 1.947 | Acc: 13.139% 
001  00121 | LR: 6.000000e-05 | Loss: 1.947 | Acc: 13.127% 
001  00122 | LR: 6.050000e-05 | Loss: 1.947 | Acc: 13.142% 
001  00123 | LR: 6.100000e-05 | Loss: 1.947 | Acc: 13.157% 
001  00124 | LR: 6.150000e-05 | Loss: 1.947 | Acc: 13.159% 
001  00125 | LR: 6.200000e-05 | Loss: 1.947 | Acc: 13.120% 
001  00126 | LR: 6.250000e-05 | Loss: 1.947 | Acc: 13.175% 
001  00127 | LR: 6.300000e-05 | Loss: 1.947 | Acc: 13.136% 
001  00128 | LR: 6.350000e-05 | Loss: 1.947 | Acc: 13.125% 
001  00129 | LR: 6.400000e-05 | Loss: 1.947 | Acc: 13.101% 
001  00130 | LR: 6.450000e-05 | Loss: 1.947 | Acc: 13.128% 
001  00131 | LR: 6.500000e-05 | Loss: 1.947 | Acc: 13.181% 
001  00132 | LR: 6.550000e-05 | Loss: 1.947 | Acc: 13.207% 
001  00133 | LR: 6.600000e-05 | Loss: 1.947 | Acc: 13.183% 
001  00134 | LR: 6.650000e-05 | Loss: 1.947 | Acc: 13.209% 
001  00135 | LR: 6.700000e-05 | Loss: 1.947 | Acc: 13.173% 
001  00136 | LR: 6.750000e-05 | Loss: 1.947 | Acc: 13.174% 
001  00137 | LR: 6.800000e-05 | Loss: 1.947 | Acc: 13.200% 
001  00138 | LR: 6.850000e-05 | Loss: 1.946 | Acc: 13.213% 
001  00139 | LR: 6.900000e-05 | Loss: 1.946 | Acc: 13.261% 
001  00140 | LR: 6.950000e-05 | Loss: 1.946 | Acc: 13.298% 
001  00141 | LR: 7.000000e-05 | Loss: 1.946 | Acc: 13.322% 
001  00142 | LR: 7.050000e-05 | Loss: 1.946 | Acc: 13.310% 
001  00143 | LR: 7.100000e-05 | Loss: 1.946 | Acc: 13.310% 
001  00144 | LR: 7.150000e-05 | Loss: 1.946 | Acc: 13.368% 
001  00145 | LR: 7.200000e-05 | Loss: 1.946 | Acc: 13.437% 
001  00146 | LR: 7.250000e-05 | Loss: 1.946 | Acc: 13.447% 
001  00147 | LR: 7.300000e-05 | Loss: 1.946 | Acc: 13.435% 
001  00148 | LR: 7.350000e-05 | Loss: 1.946 | Acc: 13.457% 
001  00149 | LR: 7.400000e-05 | Loss: 1.946 | Acc: 13.512% 
001  00150 | LR: 7.450000e-05 | Loss: 1.946 | Acc: 13.511% 
