001  00081 | LR: 4.000000e-05 | Loss: 1.948 | Acc: 15.185% 
001  00082 | LR: 4.050000e-05 | Loss: 1.948 | Acc: 15.122% 
001  00083 | LR: 4.100000e-05 | Loss: 1.948 | Acc: 15.181% 
001  00084 | LR: 4.150000e-05 | Loss: 1.947 | Acc: 15.119% 
001  00085 | LR: 4.200000e-05 | Loss: 1.947 | Acc: 15.176% 
001  00086 | LR: 4.250000e-05 | Loss: 1.947 | Acc: 15.116% 
001  00087 | LR: 4.300000e-05 | Loss: 1.947 | Acc: 14.943% 
001  00088 | LR: 4.350000e-05 | Loss: 1.948 | Acc: 14.773% 
001  00089 | LR: 4.400000e-05 | Loss: 1.948 | Acc: 14.719% 
001  00090 | LR: 4.450000e-05 | Loss: 1.948 | Acc: 14.667% 
001  00091 | LR: 4.500000e-05 | Loss: 1.948 | Acc: 14.725% 
001  00092 | LR: 4.550000e-05 | Loss: 1.947 | Acc: 14.674% 
001  00093 | LR: 4.600000e-05 | Loss: 1.947 | Acc: 14.946% 
001  00094 | LR: 4.650000e-05 | Loss: 1.947 | Acc: 15.106% 
001  00095 | LR: 4.700000e-05 | Loss: 1.946 | Acc: 15.053% 
001  00096 | LR: 4.750000e-05 | Loss: 1.946 | Acc: 15.000% 
001  00097 | LR: 4.800000e-05 | Loss: 1.946 | Acc: 15.155% 
001  00098 | LR: 4.850000e-05 | Loss: 1.947 | Acc: 15.000% 
001  00099 | LR: 4.900000e-05 | Loss: 1.946 | Acc: 15.051% 
001  00100 | LR: 4.950000e-05 | Loss: 1.947 | Acc: 14.900% 
001  00101 | LR: 5.000000e-05 | Loss: 1.946 | Acc: 15.050% 
001  00102 | LR: 5.050000e-05 | Loss: 1.946 | Acc: 14.902% 
001  00103 | LR: 5.100000e-05 | Loss: 1.946 | Acc: 15.049% 
001  00104 | LR: 5.150000e-05 | Loss: 1.946 | Acc: 14.904% 
001  00105 | LR: 5.200000e-05 | Loss: 1.946 | Acc: 15.048% 
001  00106 | LR: 5.250000e-05 | Loss: 1.946 | Acc: 15.000% 
001  00107 | LR: 5.300000e-05 | Loss: 1.945 | Acc: 15.047% 
001  00108 | LR: 5.350000e-05 | Loss: 1.946 | Acc: 15.000% 
001  00109 | LR: 5.400000e-05 | Loss: 1.946 | Acc: 15.046% 
001  00110 | LR: 5.450000e-05 | Loss: 1.945 | Acc: 15.091% 
001  00111 | LR: 5.500000e-05 | Loss: 1.945 | Acc: 15.225% 
001  00112 | LR: 5.550000e-05 | Loss: 1.945 | Acc: 15.268% 
001  00113 | LR: 5.600000e-05 | Loss: 1.945 | Acc: 15.398% 
001  00114 | LR: 5.650000e-05 | Loss: 1.945 | Acc: 15.351% 
001  00115 | LR: 5.700000e-05 | Loss: 1.945 | Acc: 15.391% 
001  00116 | LR: 5.750000e-05 | Loss: 1.945 | Acc: 15.259% 
001  00117 | LR: 5.800000e-05 | Loss: 1.944 | Acc: 15.385% 
001  00118 | LR: 5.850000e-05 | Loss: 1.944 | Acc: 15.254% 
001  00119 | LR: 5.900000e-05 | Loss: 1.944 | Acc: 15.378% 
001  00120 | LR: 5.950000e-05 | Loss: 1.944 | Acc: 15.250% 
001  00121 | LR: 6.000000e-05 | Loss: 1.943 | Acc: 15.289% 
001  00122 | LR: 6.050000e-05 | Loss: 1.943 | Acc: 15.410% 
001  00123 | LR: 6.100000e-05 | Loss: 1.943 | Acc: 15.447% 
001  00124 | LR: 6.150000e-05 | Loss: 1.943 | Acc: 15.484% 
001  00125 | LR: 6.200000e-05 | Loss: 1.943 | Acc: 15.440% 
001  00126 | LR: 6.250000e-05 | Loss: 1.943 | Acc: 15.397% 
001  00127 | LR: 6.300000e-05 | Loss: 1.943 | Acc: 15.354% 
001  00128 | LR: 6.350000e-05 | Loss: 1.943 | Acc: 15.312% 
001  00129 | LR: 6.400000e-05 | Loss: 1.943 | Acc: 15.271% 
001  00130 | LR: 6.450000e-05 | Loss: 1.942 | Acc: 15.385% 
001  00131 | LR: 6.500000e-05 | Loss: 1.942 | Acc: 15.420% 
001  00132 | LR: 6.550000e-05 | Loss: 1.942 | Acc: 15.379% 
001  00133 | LR: 6.600000e-05 | Loss: 1.942 | Acc: 15.414% 
001  00134 | LR: 6.650000e-05 | Loss: 1.942 | Acc: 15.448% 
001  00135 | LR: 6.700000e-05 | Loss: 1.942 | Acc: 15.333% 
001  00136 | LR: 6.750000e-05 | Loss: 1.941 | Acc: 15.294% 
001  00137 | LR: 6.800000e-05 | Loss: 1.941 | Acc: 15.401% 
001  00138 | LR: 6.850000e-05 | Loss: 1.941 | Acc: 15.362% 
001  00139 | LR: 6.900000e-05 | Loss: 1.942 | Acc: 15.252% 
001  00140 | LR: 6.950000e-05 | Loss: 1.941 | Acc: 15.286% 
001  00141 | LR: 7.000000e-05 | Loss: 1.941 | Acc: 15.177% 
001  00142 | LR: 7.050000e-05 | Loss: 1.940 | Acc: 15.282% 
001  00143 | LR: 7.100000e-05 | Loss: 1.941 | Acc: 15.245% 
001  00144 | LR: 7.150000e-05 | Loss: 1.940 | Acc: 15.208% 
001  00145 | LR: 7.200000e-05 | Loss: 1.940 | Acc: 15.310% 
001  00146 | LR: 7.250000e-05 | Loss: 1.940 | Acc: 15.274% 
001  00147 | LR: 7.300000e-05 | Loss: 1.940 | Acc: 15.238% 
001  00148 | LR: 7.350000e-05 | Loss: 1.939 | Acc: 15.338% 
001  00149 | LR: 7.400000e-05 | Loss: 1.939 | Acc: 15.302% 
001  00150 | LR: 7.450000e-05 | Loss: 1.939 | Acc: 15.400% 
001  00151 | LR: 7.500000e-05 | Loss: 1.939 | Acc: 15.364% 
001  00152 | LR: 7.550000e-05 | Loss: 1.939 | Acc: 15.329% 
001  00153 | LR: 7.600000e-05 | Loss: 1.939 | Acc: 15.294% 
001  00154 | LR: 7.650000e-05 | Loss: 1.938 | Acc: 15.260% 
001  00155 | LR: 7.700000e-05 | Loss: 1.938 | Acc: 15.419% 
001  00156 | LR: 7.750000e-05 | Loss: 1.938 | Acc: 15.385% 
001  00157 | LR: 7.800000e-05 | Loss: 1.938 | Acc: 15.287% 
001  00158 | LR: 7.850000e-05 | Loss: 1.937 | Acc: 15.253% 
001  00159 | LR: 7.900000e-05 | Loss: 1.938 | Acc: 15.157% 
001  00160 | LR: 7.950000e-05 | Loss: 1.938 | Acc: 15.188% 
001  00161 | LR: 8.000000e-05 | Loss: 1.937 | Acc: 15.280% 
001  00162 | LR: 8.050000e-05 | Loss: 1.937 | Acc: 15.370% 
001  00163 | LR: 8.100000e-05 | Loss: 1.937 | Acc: 15.521% 
001  00164 | LR: 8.150000e-05 | Loss: 1.936 | Acc: 15.549% 
001  00165 | LR: 8.200000e-05 | Loss: 1.936 | Acc: 15.455% 
001  00166 | LR: 8.250000e-05 | Loss: 1.936 | Acc: 15.542% 
001  00167 | LR: 8.300000e-05 | Loss: 1.936 | Acc: 15.629% 
001  00168 | LR: 8.350000e-05 | Loss: 1.935 | Acc: 15.655% 
001  00169 | LR: 8.400000e-05 | Loss: 1.935 | Acc: 15.621% 
001  00170 | LR: 8.450000e-05 | Loss: 1.934 | Acc: 15.588% 
